USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024
62,1958,Female,"$50,000 - $74,999",Domestic Partners (no kids),Bachelor's Degree,No,No,,,No,Yes,Public,No,Yes,No,No,Yes,No,Yes,,Study first,No,,,Yes,Giving,Yes,No,,,,,Odd hours,No,Happy,,Yes,No,Yes,P.M.,No,End,Yes,No,Me,,,Yes,,No,TMI,,,Tunes,,,No,Yes,,Yes,,,PC,Yes,,Yes,,,Socialize,No,,Yes,Yes,Yes,Yes,Yay people!,Yes,,,Yes,No,Yes,,,,,,,Own,Optimist,,,Yes,,,,Yes,No,No,Yes,,,,,,No
68,1960,Female,"$75,000 - $100,000",Married (w/kids),Master's Degree,No,Yes,No,No,Yes,Yes,Public,Yes,Yes,No,No,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,No,A.M.,Yes,Start,Yes,Yes,Circumstances,Yes,No,Yes,No,Yes,Mysterious,No,No,Tunes,Technology,Yes,Yes,Yes,No,Yes,Supportive,No,PC,Yes,Risk-friendly,No,Yes!,No,Space,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Rent,Optimist,Mom,Yes,Yes,Yes,Yes,Nope,Yes,No,,Yes,No,No,Yes,Yes,Yes,No
72,1985,Male,"$50,000 - $74,999",Single (no kids),High School Diploma,,,No,Yes,,Yes,Public,No,Yes,,,,,,,,,,,,Giving,No,,,,,,Standard hours,,,,,Yes,,,,,,No,Circumstances,,,,Yes,Yes,,Yes,,Talk,People,,,Yes,,,,,,,Risk-friendly,,Umm...,No,Space,No,,No,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
74,1978,Male,"$50,000 - $74,999",Single (w/kids),Current Undergraduate,,,No,,,,Public,No,Yes,Yes,Yes,Yes,,Yes,Art,Try first,Yes,,,Yes,Giving,Yes,Yes,,No,,Cool headed,,,,,Yes,Yes,No,,Yes,End,,Yes,Me,No,No,No,Yes,No,Mysterious,No,Yes,Talk,People,Yes,,,Yes,Yes,Supportive,No,Mac,Yes,Risk-friendly,No,Yes!,Yes,Socialize,No,In-person,Yes,,Yes,,Yay people!,Yes,,,,,Yes,Yes,No,,,No,,Own,Optimist,Dad,No,,Yes,Yes,,Yes,No,No,Yes,Yes,,Yes,Yes,Yes,
80,1998,Female,"$75,000 - $100,000",Single (no kids),Current K-12,Yes,Yes,No,No,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,No,Yes,Yes,Yes,Giving,Yes,Yes,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,Yes,No,No,Yes,P.M.,No,Start,No,No,Circumstances,No,Yes,Yes,No,Yes,TMI,No,No,Tunes,People,No,No,Yes,Yes,Yes,Demanding,No,PC,No,Risk-friendly,No,Yes!,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Own,Optimist,Dad,No,No,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes
81,1966,Male,"over $150,000",Married (w/kids),Master's Degree,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,Yes,Yes,Science,Study first,Yes,Yes,No,Yes,Giving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,Yes,No,A.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,No,Yes,Mysterious,Yes,No,Talk,People,No,No,Yes,Yes,Yes,Supportive,No,PC,No,Risk-friendly,No,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Own,Optimist,Dad,No,No,No,No,Check!,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
87,1990,Male,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,No,Yes,No,No,Yes,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Try first,Yes,Yes,No,Yes,Giving,No,No,Idealist,No,Yes,Hot headed,Odd hours,No,Happy,No,,,,,,,,,,Yes,Yes,No,Yes,Yes,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,Yes,Yes,Supportive,No,Mac,,Cautious,Yes,Yes!,No,Socialize,Yes,Online,Yes,Yes,Yes,Yes,Yay people!,No,No,Yes,No,Yes,,,No,No,Yes,Yes,No,Rent,Optimist,Mom,No,No,Yes,Yes,Nope,Yes,No,No,No,Yes,Yes,Only-child,Yes,No,Yes
92,1984,Male,"$100,001 - $150,000",Single (no kids),Bachelor's Degree,No,No,No,Yes,No,Yes,Public,Yes,Yes,No,Yes,No,No,Yes,Science,Study first,No,Yes,Yes,Yes,Giving,Yes,No,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,No,Yes,No,Yes,P.M.,Yes,End,Yes,No,Me,No,No,Yes,Yes,No,Mysterious,No,No,Tunes,Technology,No,Yes,Yes,No,Yes,Supportive,No,PC,No,Cautious,No,Yes!,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Own,Pessimist,Dad,Yes,Yes,No,No,Check!,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
96,1983,Male,"$75,000 - $100,000",Married (w/kids),Master's Degree,,Yes,No,Yes,No,No,Private,No,Yes,No,No,Yes,Yes,,Science,Try first,No,Yes,Yes,No,Giving,Yes,Yes,Idealist,No,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,Yes,Yes,A.M.,Yes,End,Yes,No,Me,No,Yes,Yes,No,No,Mysterious,Yes,No,Talk,People,No,No,Yes,Yes,Yes,Supportive,No,Mac,Yes,Risk-friendly,No,Umm...,No,Space,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Own,Optimist,Mom,Yes,Yes,Yes,Yes,Check!,No,No,No,No,Yes,No,Only-child,No,No,Yes
100,1979,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,,Yes,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,No,Yes,No,Science,Study first,No,No,Yes,Yes,Giving,Yes,No,Idealist,Yes,No,Hot headed,Standard hours,No,Happy,Yes,Yes,No,No,A.M.,Yes,Start,Yes,Yes,Circumstances,Yes,No,Yes,Yes,Yes,TMI,Yes,Yes,Tunes,People,No,Yes,No,No,No,Demanding,No,PC,Yes,Cautious,No,Yes!,No,Socialize,No,In-person,No,No,Yes,Yes,Grrr people,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Own,Optimist,Mom,Yes,Yes,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
104,1985,Male,"$25,001 - $50,000",Married (no kids),Bachelor's Degree,No,No,No,Yes,No,No,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Study first,Yes,No,No,Yes,Giving,Yes,No,Idealist,Yes,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,A.M.,Yes,Start,No,Yes,Me,Yes,No,Yes,Yes,No,TMI,No,No,Tunes,Technology,No,Yes,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,Yes,Yes!,Yes,Socialize,Yes,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Rent,Optimist,Mom,Yes,Yes,Yes,Yes,Check!,Yes,No,No,No,No,No,Only-child,No,No,No
105,1993,Female,"over $150,000",Married (w/kids),Current Undergraduate,,No,No,No,No,Yes,Public,Yes,No,No,Yes,Yes,Yes,Yes,,,No,,,No,Giving,Yes,Yes,,,,,Standard hours,Yes,Happy,Yes,Yes,No,,A.M.,Yes,End,Yes,No,,,Yes,No,Yes,No,,No,,Tunes,People,Yes,Yes,,,,Supportive,No,PC,,,,,,,No,In-person,,,Yes,Yes,Yay people!,,,Yes,Yes,Yes,Yes,Yes,Yes,,No,Yes,No,Own,Optimist,,No,No,Yes,Yes,Check!,,No,No,Yes,Yes,No,Yes,Yes,Yes,
108,1976,Male,"under $25,000",Single (no kids),High School Diploma,,,No,Yes,Yes,Yes,Public,No,,,,,,,,,Yes,No,Yes,Yes,Giving,No,,Pragmatist,No,No,,,,,,,Yes,No,P.M.,Yes,End,Yes,Yes,Me,No,Yes,Yes,Yes,No,Mysterious,Yes,No,Tunes,Technology,,Yes,Yes,,Yes,Demanding,No,PC,Yes,Risk-friendly,No,,,,,Online,Yes,,,,,,,,,,,,,,Yes,No,Yes,,Optimist,Dad,,,,,,,,,,,No,Yes,No,No,
124,1981,Female,"under $25,000",Single (no kids),Bachelor's Degree,No,Yes,No,Yes,No,No,Public,Yes,Yes,No,,No,,,,Try first,,,,,,,,,,,,,No,,,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Me,No,No,Yes,Yes,No,TMI,No,No,Tunes,People,No,No,Yes,No,No,Supportive,No,PC,Yes,Cautious,Yes,Yes!,No,Space,No,In-person,Yes,No,Yes,No,Yay people!,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Rent,Pessimist,Mom,No,No,Yes,Yes,Check!,Yes,Yes,No,Yes,No,,,,,No
125,1975,Female,"$50,000 - $74,999",Single (no kids),,,No,,Yes,,No,,No,Yes,No,Yes,Yes,Yes,,,,,,Yes,No,,No,No,,No,No,Cool headed,Standard hours,Yes,,,Yes,Yes,,A.M.,,,,No,,No,,Yes,Yes,,,No,,Tunes,People,,,Yes,,No,Supportive,No,,,,,Yes!,Yes,,No,In-person,No,Yes,Yes,Yes,,,No,,Yes,,Yes,Yes,No,,Yes,Yes,,Own,Optimist,,,No,,Yes,,Yes,No,No,Yes,Yes,,Yes,,,Yes
127,1969,Male,"over $150,000",Single (w/kids),Doctoral Degree,Yes,Yes,No,Yes,Yes,Yes,Public,No,Yes,Yes,Yes,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,No,Receiving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,No,Happy,No,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,No,No,Yes,Yes,No,Mysterious,No,No,Tunes,People,No,No,Yes,Yes,Yes,Demanding,No,Mac,No,Cautious,No,Yes!,Yes,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Rent,Optimist,Dad,No,No,Yes,Yes,Check!,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
128,1994,Female,,Single (no kids),Current Undergraduate,No,No,,No,No,Yes,Private,Yes,Yes,Yes,Yes,Yes,No,Yes,,Study first,No,,,Yes,Giving,Yes,Yes,,No,No,Cool headed,Standard hours,No,,,Yes,No,,,,,Yes,No,,No,,No,Yes,No,Mysterious,No,,Tunes,People,Yes,No,Yes,,Yes,Supportive,No,Mac,,Cautious,,Yes!,No,Space,No,In-person,,Yes,Yes,Yes,Yay people!,No,No,,No,No,Yes,Yes,No,No,No,No,Yes,Rent,Optimist,Dad,Yes,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,No,Yes,
129,1961,Male,,Married (w/kids),,No,No,No,Yes,,Yes,Public,No,Yes,No,No,Yes,No,Yes,Science,Try first,,,No,,Giving,,,,,,,,Yes,Right,No,Yes,,,,,,,,,No,Yes,Yes,Yes,No,TMI,,,Tunes,Technology,Yes,No,,No,Yes,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Space,Yes,Online,Yes,Yes,,Yes,Yay people!,Yes,Yes,No,,,No,No,Yes,No,Yes,No,Yes,Own,Optimist,Dad,Yes,Yes,Yes,Yes,Nope,,No,No,Yes,,,,,,Yes
130,1988,Female,"under $25,000",Single (no kids),Bachelor's Degree,,No,No,No,,,,,No,No,Yes,,,Yes,Art,,,,,Yes,Giving,,No,Idealist,No,Yes,Cool headed,,No,,,Yes,,,P.M.,No,,Yes,No,,Yes,No,Yes,Yes,No,Mysterious,No,Yes,,Technology,Yes,No,,,,Supportive,,Mac,Yes,Cautious,Yes,,No,,Yes,,,No,Yes,Yes,,,Yes,,No,No,Yes,No,Yes,Yes,No,No,No,,Optimist,Mom,No,No,Yes,Yes,,,,No,Yes,,,Yes,Yes,Yes,No
139,1990,Male,"$25,001 - $50,000",Married (no kids),Bachelor's Degree,Yes,Yes,No,Yes,No,Yes,Public,No,Yes,Yes,Yes,Yes,No,Yes,Science,Study first,No,Yes,Yes,Yes,Receiving,Yes,Yes,Idealist,No,No,Cool headed,Odd hours,No,Right,Yes,Yes,No,No,P.M.,Yes,End,No,Yes,Me,No,Yes,Yes,Yes,Yes,Mysterious,Yes,No,Tunes,Technology,Yes,Yes,Yes,No,Yes,Supportive,No,PC,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,No,No,No,No,No,No,No,No,No,No,Rent,Pessimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes
149,1975,Male,"$75,000 - $100,000",Married (w/kids),High School Diploma,No,Yes,No,Yes,No,No,Private,No,Yes,No,Yes,Yes,No,Yes,Science,Study first,Yes,Yes,No,No,Giving,No,Yes,Idealist,No,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,No,P.M.,Yes,End,Yes,Yes,Circumstances,No,No,No,Yes,Yes,TMI,Yes,Yes,Talk,People,No,No,Yes,Yes,Yes,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,No,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Own,Optimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes
151,1973,Male,"$25,001 - $50,000",Single (no kids),High School Diploma,,No,No,Yes,No,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Try first,Yes,No,No,No,Giving,No,No,Idealist,No,Yes,Hot headed,Standard hours,No,Right,Yes,Yes,Yes,Yes,A.M.,Yes,End,Yes,Yes,Me,No,No,Yes,Yes,Yes,Mysterious,Yes,No,Talk,People,No,Yes,Yes,No,No,Demanding,No,PC,Yes,Cautious,No,Yes!,No,Space,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Rent,Pessimist,Dad,No,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,No
154,1970,Male,"$75,000 - $100,000",Married (w/kids),High School Diploma,Yes,Yes,No,Yes,No,Yes,Public,No,Yes,No,No,No,,,,,Yes,No,Yes,Yes,Giving,No,Yes,,No,No,Hot headed,Standard hours,Yes,Happy,Yes,No,Yes,No,P.M.,No,Start,Yes,Yes,Me,Yes,Yes,No,Yes,Yes,,No,No,Tunes,People,No,No,No,Yes,No,,Yes,Mac,Yes,Risk-friendly,No,,,,,Online,No,Yes,No,Yes,Grrr people,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Own,Pessimist,Dad,Yes,No,No,Yes,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
158,NA,Male,,Married (no kids),,,Yes,No,Yes,Yes,No,Public,No,Yes,No,No,No,Yes,No,Science,Try first,Yes,No,Yes,No,Giving,Yes,No,Idealist,Yes,No,Hot headed,Odd hours,Yes,Happy,No,Yes,No,No,A.M.,No,Start,Yes,Yes,Me,Yes,Yes,No,Yes,No,TMI,No,Yes,Talk,Technology,No,No,Yes,Yes,No,Demanding,No,Mac,Yes,Cautious,No,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Rent,Pessimist,Dad,Yes,Yes,Yes,Yes,Nope,Yes,No,No,Yes,No,Yes,Yes,No,No,No
159,1989,Female,"$75,000 - $100,000",Single (no kids),Current Undergraduate,,,No,,No,No,Public,Yes,Yes,No,No,Yes,Yes,Yes,Art,Try first,No,Yes,No,Yes,,No,No,Idealist,No,No,Hot headed,Standard hours,No,Happy,Yes,Yes,Yes,Yes,,Yes,,,No,,,Yes,No,Yes,Yes,TMI,,No,Tunes,People,No,Yes,Yes,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,No,Yes!,No,Socialize,Yes,In-person,Yes,Yes,Yes,No,Yay people!,No,Yes,,Yes,Yes,No,No,Yes,No,Yes,No,No,Rent,Optimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,No,No,Yes,No,No,No
168,1948,Male,"over $150,000",Married (w/kids),Master's Degree,No,Yes,No,Yes,Yes,Yes,Public,No,No,No,No,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,Yes,Giving,Yes,No,Idealist,Yes,No,Hot headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,No,Start,Yes,Yes,Circumstances,Yes,Yes,No,Yes,Yes,TMI,No,Yes,Tunes,People,Yes,Yes,Yes,Yes,Yes,Supportive,No,Mac,Yes,Cautious,Yes,Yes!,No,Socialize,Yes,Online,No,Yes,Yes,Yes,Yay people!,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Own,Optimist,Dad,Yes,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
177,1988,Male,"$25,001 - $50,000",Married (no kids),Master's Degree,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot headed,Standard hours,No,Right,Yes,Yes,No,No,P.M.,Yes,End,Yes,Yes,Circumstances,Yes,No,Yes,Yes,No,TMI,No,Yes,Tunes,Technology,Yes,No,Yes,No,Yes,Supportive,No,PC,Yes,Risk-friendly,No,Yes!,No,Socialize,No,In-person,No,No,Yes,Yes,Yay people!,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Rent,Optimist,Dad,Yes,No,No,Yes,Check!,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
185,1985,Male,"$75,000 - $100,000",Single (no kids),Bachelor's Degree,No,No,No,Yes,Yes,No,Private,No,No,No,No,Yes,No,Yes,Art,Try first,No,No,Yes,No,Giving,No,No,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,No,A.M.,Yes,End,Yes,No,Me,No,Yes,Yes,Yes,Yes,Mysterious,No,Yes,Tunes,People,Yes,Yes,Yes,No,Yes,Supportive,No,PC,No,Cautious,No,Umm...,No,Space,Yes,In-person,No,No,Yes,Yes,Yay people!,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Own,Optimist,Dad,No,No,No,Yes,Nope,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
192,1974,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,,Yes,No,Yes,No,No,Public,No,Yes,No,No,Yes,Yes,Yes,Science,Study first,No,No,Yes,No,Giving,No,No,Pragmatist,Yes,No,Cool headed,Odd hours,No,Happy,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,No,Me,Yes,No,No,Yes,No,Mysterious,No,Yes,Talk,Technology,No,Yes,No,No,No,Supportive,No,Mac,Yes,Risk-friendly,No,Yes!,No,Space,Yes,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Own,Optimist,Dad,No,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes
